search_type,username,retweet_count,created_at,favourite_count,hashtags,tweet_id,text,location,to,mined_at,quote_username
username,TCS,5,30/07/2020 10:37:19,15,#telecom #pandemic,1288785738205560839,"In the second part, Kamal Bhadada details how #telecom companies are redistributing resources during the #pandemic and how strategies for new launches could evolve.",,,24/08/2020 21:33:13,
username,TCS,12,30/07/2020 10:31:39,55,#TCSPodcast #5G #telecom #pandemic #podcast,1288784312574255104,We have a brand new #TCSPodcast! Our leader Kamal Bhadada discusses #5G deployment and overall impact on the #telecom industry in the wake of the #pandemic. Listen to the #podcast below ,,,24/08/2020 21:33:13,
username,TCS,3,29/07/2020 15:36:42,28,#TCSInnovation #Retail #CPG,1288498695068057602,"And, it’s a wrap! Thank you for joining the 5th virtual #TCSInnovation Forum - A New Beginning: The New Paradigm of Customer Experience. Today's event focused on how #Retail &amp; #CPG orgs can deliver on customer promise. Stay tuned for the next event, we’ll share details soon!",,,24/08/2020 21:33:13,
username,TCS,5,29/07/2020 15:29:22,23,#TCSInnovation #TCSAlgoRetail,1288496848114790401,"At the #TCSInnovation Forum Keynote Executive Panel, leaders from @smartfinal, @CVSHealth &amp; @KCCorp share how they are re-crafting their business models, curating new customer experiences &amp; delivering on customer promise. Read more: https://on.tcs.com/309rsBJ #TCSAlgoRetail",,,24/08/2020 21:33:13,@smartfinal @CVSHealth @KCCorp
username,TCS,3,29/07/2020 15:26:54,24,#TCSInnovation,1288496227957563394,"Lindsay Phelps, Senior Consulting Partner, Algorithmic Retail, @TCS, talks about how customers are seeking out new experiences &amp; becoming more purpose-driven. Read more: https://on.tcs.com/309rsBJ | #TCSInnovation",,,24/08/2020 21:33:13,@TCS
username,TCS,2,29/07/2020 15:20:05,19,#TCSInnovation #analytics #customers,1288494511182827521,"At the #TCSInnovation Forum Keynote Executive Panel, Edward Wong, EVP &amp; Chief Digital Officer, @smartfinal, talks about the importance of #analytics in decision-making, serving the #customers, and planning for the future.",,,24/08/2020 21:33:13,@smartfinal
username,TCS,3,29/07/2020 15:13:28,17,#supplychain #TCSInnovation #GoAlgo #Retail,1288492848761966592,"""A resilient & connected #supplychain will be vital for the future. We need to be able to respond &amp; re-plan our manufacturing &amp; distribution rapidly,"" says Rajeev Kapur, VP, Commercial Transformation @KCCorp, at the #TCSInnovation Forum Keynote Executive Panel. #GoAlgo #Retail",,,24/08/2020 21:33:13,@KCCorp
username,TCS,4,29/07/2020 14:54:38,32,#TCSInnovation #TCSAlgoRetail #AI #GoAlgo #retailtech,1288488109416624128,"At the #TCSInnovation Forum, we showcase how leading retailers worldwide can unlock exponential value by leveraging #TCSAlgoRetail, applying algorithmic retailing &amp; innovative #AI applications in core retail areas. Learn more: https://on.tcs.com/309rsBJ #GoAlgo #retailtech",,,24/08/2020 21:33:13,
username,TCS,2,29/07/2020 14:30:09,17,#TCSInnovation #disruption,1288481948013416450,"At the #TCSInnovation Forum 'Coffee Connect', leaders from @TheScoularCo &amp; @Albertsons share their stories of resilience &amp; focusing on the positive side of #disruption, while meeting customer’s needs. Know more: https://on.tcs.com/309rsBJ",,,24/08/2020 21:33:13,@TheScoularCo @Albertsons
username,TCS,5,29/07/2020 14:20:33,23,#TCSInnovation #TCSAlgoRetail #GoAlgo,1288479530194173959,"At the #TCSInnovation Forum, our @ShankarNS252 speaks about creating future-proof enterprises with a Machine-First approach. Learn about the Machine First™ Approach here: https://on.tcs.com/33170VA #TCSAlgoRetail #GoAlgo",,,24/08/2020 21:33:13,@ShankarNS252
username,TCS,5,29/07/2020 05:26:08,38,,1288345041488904192,"Download the ""Jeh"" font here:",,,24/08/2020 21:33:13,
username,TCS,4,29/07/2020 05:25:18,30,,1288344829462630403,"Over his lifetime, JRD Tata wrote over 40,000 letters, often longhand in flourishing and unique handwriting. On his 116th birth anniversary, as a tribute to this facet of his personality, his handwriting is retraced and introduced in the truetype font ""Jeh""",,,24/08/2020 21:33:13,
username,TCS,4,29/07/2020 05:23:45,33,,1288344442265407488,"Students, too, from all over India often wrote to JRD, seeking his advice or even wanting to know more about him. Mahatma Gandhi once said JRD was one of the most considerate and courteous of men, who would never leave a question or a letter, however unimportant, unanswered.",,,24/08/2020 21:33:13,
username,TCS,5,29/07/2020 05:22:19,33,,1288344080863248384,"JRD Tata was a prolific writer of letters, often in his own hand. He corresponded regularly with his family, colleagues, associates and to contemporary leaders like Jawaharlal Nehru and Indira Gandhi, among others.",,,24/08/2020 21:33:13,
username,TCS,42,29/07/2020 05:21:27,323,,1288343860251246592,"Today marks the 116th birth anniversary of Jehangir Ratanji Dadabhoy Tata, better known as JRD Tata — the father of Indian aviation, the longest-serving chairman of @TataCompanies, founder of many Tata companies and a hero of Indian business.",,,24/08/2020 21:33:13,@TataCompanies
username,TCS,5,28/07/2020 13:38:04,41,#webinar #insurers #business4dot0,1288106449923530753,"The latest #webinar in the ‘Towards Resilient Growth’ webinar series will be held for #insurers in South Africa to help them accelerate their digital transformation roadmap and create innovative business models. #business4dot0 For registration, reach us at tcsmea.events@tcs.com",,,24/08/2020 21:33:13,
username,TCS,4,28/07/2020 09:56:50,40,#TCSInnovation #NewBeginning,1288050774098849794,"Our 5th #TCSInnovation Forum, curated by Pace Port™ NY, will feature global leaders from @TheScoularCo, @smartfinal, @CVSHealth, @Albertsons &amp; @KCCorp to share insights on how firms can deliver customer promise for the future. Learn more: https://on.tcs.com/IF2020 #NewBeginning",,,24/08/2020 21:33:13,@TheScoularCo @smartfinal @CVSHealth @Albertsons @KCCorp
username,TCS,4,27/07/2020 14:15:45,35,#COVID19 #LifeSciences #patientcentricity #clinicaltrials,1287753546729844736,"Dr. Hilde Vanaken, Sr. Industry Advisor, Life Sciences & Healthcare, TCS explains how #COVID19 has compelled #LifeSciences companies to embrace true #patientcentricity and augment the next generation of #clinicaltrials. Read: https://bit.ly/30Pb1tv @hvanaken_hilde @PharmaVOICE",,,24/08/2020 21:33:13,@hvanaken_hilde @PharmaVOICE
username,TCS,8,27/07/2020 06:31:22,68,#SBWS,1287636678811803650,"Delivering efficiency despite the lockdown! We leveraged our Secure Borderless Workspaces™ Model to virtually implement TCS DynaPORT - a one-stop digital terminal operating solution to help launch the Tilbury2 Ro-Ro Terminal, in London. Know More: https://on.tcs.com/3jE8ESL #SBWS™",,,24/08/2020 21:33:13,
username,TCS,6,24/07/2020 05:55:11,42,#cybersecurity #healthcare #DataSecurity #whitepaper,1286540411595395073,"We are reimagining #cybersecurity for #healthcare providers to fortify #DataSecurity. Geetali Raj, Muthuselvan Nallamuthu and Prashant Deo discuss strategies to help organisations move from a reactive to a proactive security model in our new #whitepaper: https://on.tcs.com/3fZwnuG",,,24/08/2020 21:33:13,
username,TCS,17,23/07/2020 16:05:43,59,#TCSInnovation,1286331670237310976,"We are excited to host the 5th chapter of our virtual #TCSInnovation Forum on 29th July, 2020. Join global leaders from the retail and consumer goods industry as they share their experiences on driving change and delivering on customer promise. Register: https://on.tcs.com/IF2020",,,24/08/2020 21:33:13,
username,TCS,14,23/07/2020 11:53:00,32,#Technology #Agile #AI #MachineLearning #DeepLearning #POV,1286268071196258311,"How can #Technology help rebuild business models in the lending industry, making it more #Agile &amp; Resilient? We believe the way forward lies in empowering the industry with digital tools like #AI, #MachineLearning &amp; #DeepLearning. Read our #POV here: https://on.tcs.com/3jzFq7t",,,24/08/2020 21:33:13,
username,TCS,6,22/07/2020 12:55:01,46,#AI #ML #COVID19,1285921292047155201,#AI and #ML tools strengthen an enterprise’s ability to prioritize application delivery and business continuity in uncertain times. Read the IDG Executive Viewpoint to learn how AI and automation can be leveraged to navigate the #COVID19 crisis @CIOonline https://on.tcs.com/3g2s0Pa,,,24/08/2020 21:33:13,@CIOonline
username,TCS,8,22/07/2020 10:59:24,51,#cryptocurrency #Quartz #Crypto,1285892193518006272,We're making #cryptocurrency trading mainstream with our #Quartz™ Smart Solution for #Crypto Services backed by best-in-class security features. It allows banks to enable investments in multiple cryptocurrencies &amp; digital assets for their clientele. More: https://on.tcs.com/3hnPZbZ,,,24/08/2020 21:33:13,
username,TCS,2,21/07/2020 14:43:28,23,#Workforce #Agile #SupplyChain #Digital #BusinessModels,1285586193095127041,"These 7 organisational changes include: #Workforce Well-Being, Remote Work, Quality of Remote Work, #Agile teams, #SupplyChain Resilience, #Digital #BusinessModels and New Leadership Skills. Read more: https://on.tcs.com/2WEPjHj (2/2)",,,24/08/2020 21:33:13,
username,TCS,8,21/07/2020 14:16:34,49,#Podcast #TCSPodcast,1285579426499932160,"#Podcast alert ! In the latest edition of #TCSPodcast, our leader Krishnan Ramanujam shares 7 key changes that are poised to sweep across organisations post the pandemic. Listen to the podcast below or read about it here: https://on.tcs.com/2WEPjHj (1/2) @kramanuj",,,24/08/2020 21:33:13,@kramanuj
username,TCS,5,21/07/2020 13:40:16,52,#COVID19 #UK #TCSSBWS,1285570289858797569,"We helped set up Secure Borderless Workspaces™ for Mace to ensure business continuity during the #COVID19 lockdown in the #UK. The global implementation was achieved at an unprecedented pace, within 24 hours. Read the full story: https://bit.ly/2OLx7HO #TCSSBWS @TCS_UKI",,,24/08/2020 21:33:13,@TCS_UKI
username,TCS,5,21/07/2020 11:29:41,37,#Aerospace #Busines4dot0 #POV,1285537428330045440,#Aerospace companies can build resiliency in their value chain with the confluence of #Busines4dot0 technologies. Here's our #POV on enabling organisations to optimise their digital advantage to create customer value: https://on.tcs.com/30AcPqh,,,24/08/2020 21:33:13,
username,TCS,8,21/07/2020 06:55:20,34,#TCSWomenInBusiness #LeadToInfluence,1285468386294554627,Women form more than one-third of TCS’ employee base and we are progressing strongly on our commitment to foster gender diversity in leadership positions. Here’s wishing the emerging leaders a rewarding learning experience. #TCSWomenInBusiness #LeadToInfluence,,,24/08/2020 21:33:13,
username,TCS,4,21/07/2020 06:54:59,19,#TCSWomenInBusiness #LeadToInfluence,1285468297111035905,"We've reimagined this year's program for the SBWS format, enabling more participants from various backgrounds, industries, functions, and geographies to join. #TCSWomenInBusiness #LeadToInfluence",,,24/08/2020 21:33:13,
